btdlnykopxkhjmxbxtskeopiyk,FALSE
lctspmqxuhlpijdkpnbgxdiwmr,FALSE
arqcnhqninogfqbiwnhoaatfzp,FALSE
pjflykdttnqpuawzfjijvipywx,FALSE
jvzgiklpyeoabmxruwdsncftqh,TRUE
tghvyknaumpefxdjqrciowlsbz,TRUE
bfzteacijgpwnhqysvxlrmdoku,TRUE
fipovfcvzesqbsousguemfnqnu,FALSE
ppgjehkbxhpucnobgnsnmjliop,FALSE
sdezharugmnxjiktovwpyclqfb,TRUE
xpinvxpyvysihahvoxkfavxetg,FALSE
isprdszcavzhixqvhnnlvbzzpu,FALSE
uwclnipygsrmdvaxfbkqoejhzt,TRUE
demxuvpabnqltrjifyskwcozgh,TRUE
cgjdzipufsnbaeyorhqtwvxmkl,TRUE
pywinhxdqaobstmvguzjfklcre,TRUE
vyafvzxiwfiuxfpslljkdktonl,FALSE
fyjgmlkcqrvadenuxzhswobpit,TRUE
bztlwrxisuogahvnfmydckpejq,TRUE
yzgmptrcbqiewvkuxjsnfaodlh,TRUE
eunxezaamsfpnciwxacrmwetfi,FALSE
tdbxcjysfeigmhnrlqkapvuowz,TRUE
uinobhxeyaflwksrcjtvdqgzmp,TRUE
zlnrpdmxfeylhstqrirusjqvzm,FALSE
ajnvptuulmtyrozryhmbnwaaju,FALSE
sarviczldkgnebtjpwmoyqfxhu,TRUE
uzbjykpsfhroxelqcndtwvigam,TRUE
vwhqsyfocdjxetamrugizklpbn,TRUE
oixcsiwftqzkdjmsmweamwdeuk,FALSE
mljlkqjppkuyrgckrlezatsogz,FALSE
vdtihcpejkabzmnolsgyfrquxw,TRUE
ogflhexcbzksmdjypwrnquiavt,TRUE
aflvhojhrhlmfbrszkttvbubsi,FALSE
hdobipwyuemdwrhyqtsrdvlods,FALSE
ktyhfxobniaeqvudpcmszwjrgl,TRUE
xwcqiljefouvkszdrpnabythmg,TRUE
saujgvnhifzbxmtopcwykqrlde,TRUE
jmbicageohqxstnpfzywrudlkv,TRUE
ylwhppbuvixkuznrmqglbmfeco,FALSE
lutshrwnfvqpzjkyieacombgxd,TRUE
ajrtgvuexolysqwmfhpikbdczn,TRUE
rzdkxsjeaoyvtfcwmgiqhpubnl,TRUE
eptqcduvjvrifeznujoiqjkgnx,FALSE
ymrjvbuqldsoawzncxkifpgthe,TRUE
seaisldzxpddngwieypdabuinh,FALSE
rfuvoytazilbnswxcpqkjhdmge,TRUE
gkbtxpecjnwosqylrizfuvmhda,TRUE
swoljtkhxzaeinfqpuydvmbrgc,TRUE
imzhbwdphconjvxmbiwpaxlyly,FALSE
cfuwpkhlvpifcwuhqdzkmmsuqd,FALSE
hbkinjtgfclazeoyxrpqvdsmuw,TRUE
qvuxlwcrgempsynbdohzkifjta,TRUE
jotmqwhosqdulbkeboqrfjstjd,FALSE
doqhvisplmebkrunjctywzgaxf,TRUE
wrtmnacyxidbfhjsgupvzokelq,TRUE
jqpmoxidgefwatkclnhrsyvuzb,TRUE
lfwlinuctrgbaatglzehkmlfrq,FALSE
uasdozxnyiqmbvktflhewjprgc,TRUE
ykvmrrfellfwdpmmfspytnedqr,FALSE
lfxjujcbzlppjstntdepqxibwj,FALSE
poenpqmopvlbdaokeipfesxtuy,FALSE
hdfpmbugxcojizqwrsyavneltk,TRUE
evkduhzsiastxwiplzgtzgqill,FALSE
